0-4 Years,5-9 Years,10-14 Years,15-19 Years,20-24 Years,25-29 Years,30-34 Years,35-39 Years,40-44 Years,45-49 Years,50-54 Years,55-59 Years,60-64 Years,65-69 Years,70-74 Years,75-79 Years,80-84 Years,85-89 Years,90 Years & Over
183076	,	198737	,	206393	,	215234	,	244537	,	286997	,	297798	,	299515	,	299291	,	311740	,	296068	,	305830	,	284626	,	229396	,	170008	,	90990	,	66513	,	36586	,	20875
185355	,	197775	,	207926	,	222222	,	249079	,	288194	,	293446	,	300818	,	300763	,	311682	,	301682	,	306759	,	278828	,	221296	,	150127	,	94600	,	62293	,	33935	,	19429
185528	,	199066	,	206530	,	226520	,	255516	,	291631	,	281397	,	303720	,	303640	,	307838	,	308965	,	304390	,	271688	,	212101	,	135546	,	93327	,	57103	,	31991	,	17786
187653	,	200575	,	206253	,	232973	,	259072	,	290198	,	279340	,	300956	,	311484	,	303457	,	312814	,	301678	,	262651	,	203969	,	119494	,	91953	,	54341	,	30481	,	16454
187160	,	201509	,	207495	,	239771	,	260854	,	279988	,	285544	,	301998	,	313445	,	301183	,	315598	,	299591	,	251853	,	198020	,	103796	,	87955	,	53556	,	29086	,	15157
183575	,	204452	,	214388	,	242902	,	264127	,	271030	,	290619	,	301067	,	316755	,	303413	,	315091	,	295063	,	240493	,	182425	,	102631	,	81211	,	51785	,	27494	,	14169
181369	,	205790	,	220796	,	247337	,	263918	,	265659	,	292287	,	302029	,	316023	,	308533	,	315503	,	288392	,	231502	,	161198	,	106815	,	76294	,	48418	,	25486	,	13390
183295	,	205704	,	226244	,	255066	,	266889	,	255615	,	296870	,	305503	,	312581	,	316336	,	312988	,	281069	,	222154	,	145817	,	105746	,	70619	,	46199	,	23235	,	12821
186673	,	206324	,	233320	,	258861	,	264506	,	254582	,	295396	,	313970	,	308823	,	320925	,	310376	,	271817	,	213996	,	128879	,	104414	,	67675	,	44115	,	21503	,	12050
188249	,	208119	,	240536	,	260738	,	255069	,	262606	,	297555	,	316161	,	306614	,	323991	,	308130	,	260678	,	208160	,	112396	,	100073	,	66909	,	42145	,	19756	,	11366
194432	,	215675	,	244302	,	263750	,	247190	,	272639	,	298687	,	320024	,	309441	,	323459	,	303044	,	248696	,	191995	,	111511	,	92618	,	65178	,	39839	,	18481	,	10760
197788	,	221435	,	248628	,	262775	,	241753	,	274308	,	297240	,	317311	,	312983	,	322497	,	297383	,	239947	,	169696	,	116258	,	87428	,	61490	,	37143	,	17569	,	10244
193889	,	223622	,	253796	,	262856	,	225385	,	263114	,	289817	,	307243	,	317363	,	318078	,	289189	,	229356	,	153161	,	115185	,	81307	,	59001	,	33882	,	16734	,	9681
193626	,	229541	,	255292	,	257298	,	218485	,	254523	,	294453	,	301973	,	321049	,	315552	,	279220	,	220983	,	135501	,	113757	,	78631	,	56732	,	31519	,	15923	,	9024
194479	,	235204	,	256482	,	246547	,	219631	,	251659	,	293251	,	298203	,	323017	,	312858	,	266994	,	214601	,	118242	,	108837	,	78317	,	54413	,	29443	,	15206	,	8510
199529	,	237237	,	258553	,	234921	,	218951	,	247799	,	293414	,	299153	,	321472	,	307546	,	254168	,	197803	,	117575	,	101088	,	76545	,	51601	,	27879	,	14514	,	8066
204819	,	240517	,	257283	,	227417	,	215217	,	246713	,	290489	,	302908	,	321057	,	300671	,	244110	,	174788	,	122736	,	96007	,	72485	,	47875	,	26864	,	13778	,	7532
209903	,	247044	,	259124	,	214074	,	215412	,	250878	,	287304	,	310643	,	318282	,	292791	,	233180	,	157894	,	121724	,	89883	,	70002	,	42863	,	25783	,	13217	,	6890
217798	,	253192	,	257692	,	209687	,	216313	,	262720	,	289184	,	320753	,	320863	,	286738	,	230367	,	143175	,	123438	,	89587	,	70642	,	45830	,	25213	,	13047	,	6705
222991	,	254077	,	246972	,	210903	,	214636	,	262754	,	286690	,	322878	,	317996	,	274569	,	223842	,	125449	,	118506	,	89676	,	69048	,	42501	,	23897	,	12500	,	6017
225705	,	256574	,	235352	,	211286	,	212236	,	267161	,	290290	,	322621	,	312420	,	262201	,	206657	,	125061	,	110503	,	88305	,	66948	,	39644	,	22876	,	12092	,	5431
